Domain,Base Domain,Scanned Hostname,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,Any 3DES,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,SHA-1 in Constructed Chain,Not Before,Not After,Highest Served Issuer,Highest Constructed Issuer,Errors
aboutusa.japan.usembassy.gov,usembassy.gov,aboutusa.japan.usembassy.gov,False,True,True,True,True,True,False,256,True,False,True,,,,,,,,,,
above.gsfc.nasa.gov,nasa.gov,above.gsfc.nasa.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
above.nasa.gov,nasa.gov,above.nasa.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
abp.cr.usgs.gov,usgs.gov,abp.cr.usgs.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
abpdu.lbl.gov,lbl.gov,abpdu.lbl.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
abpxnd1ery.adlnet.gov,adlnet.gov,abpxnd1ery.adlnet.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
abqhr.doeal.gov,doeal.gov,abqhr.doeal.gov,False,False,True,False,False,False,False,,False,False,True,,,,,,,,,,
abqservices.doeal.gov,doeal.gov,abqservices.doeal.gov,False,False,True,False,False,False,False,,False,False,True,,,,,,,,,,
abraham.house.gov,house.gov,abraham.house.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
abs.cit.nih.gov,nih.gov,abs.cit.nih.gov,False,False,True,True,True,True,True,256,False,False,False,,,,,,,,,,
ac-1.dot.gov,dot.gov,ac-1.dot.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
ac-2.dot.gov,dot.gov,ac-2.dot.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
ac-sp.usaid.gov,usaid.gov,ac-sp.usaid.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
ac.arc.nasa.gov,nasa.gov,ac.arc.nasa.gov,False,False,True,True,True,True,True,384,False,False,False,,,,,,,,,,
ac.dot.gov,dot.gov,ac.dot.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
ac.drtest.usajobs.gov,usajobs.gov,ac.drtest.usajobs.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
ac.ninds.nih.gov,nih.gov,ac.ninds.nih.gov,False,False,True,False,True,True,False,521,False,False,False,,,,,,,,,,
ac.test.usajobs.gov,usajobs.gov,ac.test.usajobs.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
ac.uat.usajobs.gov,usajobs.gov,ac.uat.usajobs.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
ac.usaid.gov,usaid.gov,ac.usaid.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
ac.usajobs.gov,usajobs.gov,ac.usajobs.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
ac1.dot.gov,dot.gov,ac1.dot.gov,False,False,True,False,False,True,False,1024,True,False,True,,,,,,,,,,
ac2.dot.gov,dot.gov,ac2.dot.gov,False,False,True,False,False,True,False,1024,True,False,True,,,,,,,,,,
ac2.ninds.nih.gov,nih.gov,ac2.ninds.nih.gov,False,False,True,False,True,True,False,521,False,False,False,,,,,,,,,,
aca.api.healthcare.gov,healthcare.gov,aca.api.healthcare.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
academy.arc.nasa.gov,nasa.gov,academy.arc.nasa.gov,False,False,False,False,True,True,True,256,False,False,False,,,,,,,,,,
academy.faa.gov,faa.gov,www.academy.faa.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
academy.grc.nasa.gov,nasa.gov,academy.grc.nasa.gov,False,False,True,True,True,False,False,,False,False,False,,,,,,,,,,
academy.jccbi.gov,jccbi.gov,www.academy.jccbi.gov,False,False,True,False,False,True,False,256,False,False,False,,,,,,,,,,
academy.msfc.nasa.gov,nasa.gov,academy.msfc.nasa.gov,False,False,False,False,True,True,True,256,False,False,False,,,,,,,,,,
academy.nasa.gov,nasa.gov,www.academy.nasa.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
