Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
republicans.gov,republicans.gov,http://republicans.gov,True,True,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
research.gov,research.gov,https://www.research.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False,True,True,True
restorethegulf.gov,restorethegulf.gov,https://restorethegulf.gov,True,False,,True,True,False,True,False,False,False,False,"max-age=0, max-age=31536000",0,False,False,False,False,False,True,True,False
rivers.gov,rivers.gov,https://rivers.gov,True,False,,False,True,False,True,True,False,False,True,max-age=31536000 ; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True
rl.gov,rl.gov,http://rl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
robodeidentidad.gov,robodeidentidad.gov,https://robodeidentidad.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True
rocis.gov,rocis.gov,http://rocis.gov,True,False,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,False,True
rrb.gov,rrb.gov,https://rrb.gov,True,False,,True,True,False,True,False,False,False,True,max-age=15768000,15768000,False,False,False,False,False,True,True,False
sac.gov,sac.gov,https://sac.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
safecom.gov,safecom.gov,https://www.safecom.gov,True,False,,True,True,False,True,False,False,False,True,max-age=157680000,157680000,False,False,False,False,False,True,True,True
safecomprogram.gov,safecomprogram.gov,http://safecomprogram.gov,True,True,https://www.dhs.gov/safecom,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False,False
safeocs.gov,safeocs.gov,https://safeocs.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
safercar.gov,safercar.gov,https://www.safercar.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
saferproduct.gov,saferproduct.gov,http://saferproduct.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
saferproducts.gov,saferproducts.gov,https://www.saferproducts.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000;includeSubDomains,31536000,False,False,False,False,False,True,True,True
safertruck.gov,safertruck.gov,https://www.safertruck.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
safetyact.gov,safetyact.gov,https://safetyact.gov,True,False,,False,True,False,True,False,False,False,False,,,False,False,False,False,False,False,False,False
safetyvideos.gov,safetyvideos.gov,http://safetyvideos.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
safeyouth.gov,safeyouth.gov,http://www.safeyouth.gov,True,True,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
salmonrecovery.gov,salmonrecovery.gov,https://www.salmonrecovery.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
sam.gov,sam.gov,https://www.sam.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
samhsa.gov,samhsa.gov,https://www.samhsa.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False
sandbox.gov,sandbox.gov,http://sandbox.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
sandia.gov,sandia.gov,http://www.sandia.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
savingsbond.gov,savingsbond.gov,https://savingsbond.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True
