Domain,Base Domain,censys-snapshot,rdns-snapshot,dap,eot2016,parents
2.epa.gov,epa.gov,False,False,False,True,False
2.faa.gov,faa.gov,False,False,False,True,False
2.fbi.gov,fbi.gov,False,False,False,True,False
2.fcc.gov,fcc.gov,False,False,False,True,False
2.fdic.gov,fdic.gov,False,False,False,True,False
2.fedshirevets.gov,fedshirevets.gov,False,False,False,True,False
2.fema.gov,fema.gov,False,False,False,True,False
2.flnb.uscourts.gov,uscourts.gov,False,False,False,True,False
2.fmc.gov,fmc.gov,False,False,False,True,False
2.foia.state.gov,state.gov,False,False,False,True,False
2.ftc.gov,ftc.gov,False,False,False,True,False
2.gud.uscourts.gov,uscourts.gov,False,False,False,True,False
2.hanford.gov,hanford.gov,False,False,False,True,False
2.helpwithmybank.gov,helpwithmybank.gov,False,False,False,True,False
2.jpl.nasa.gov,nasa.gov,False,False,False,True,False
2.kyeb.uscourts.gov,uscourts.gov,False,False,False,True,False
2.metcer.ameslab.gov,ameslab.gov,False,False,False,True,False
2.nature.nps.gov,nps.gov,False,False,False,True,False
2.nccos.noaa.gov,noaa.gov,False,False,False,True,False
2.ncdc.noaa.gov,noaa.gov,False,False,False,True,False
2.nidcr.nih.gov,nih.gov,False,False,False,True,False
2.niddk.nih.gov,nih.gov,False,False,False,True,False
2.ntia.doc.gov,doc.gov,False,False,False,True,False
2.occ.gov,occ.gov,False,False,False,True,False
2.opm.gov,opm.gov,False,False,False,True,False
2.osha.gov,osha.gov,False,False,False,True,False
2.training.nih.gov,nih.gov,False,False,False,True,False
2.va.gov,va.gov,False,False,False,True,False
2.vaeb.uscourts.gov,uscourts.gov,False,False,False,True,False
2.www4.irs.gov,irs.gov,False,False,False,True,False
2000.census.gov,census.gov,False,False,False,True,False
2001-2009.commerce.gov,commerce.gov,False,False,False,True,False
2001-2009.state.gov,state.gov,True,False,True,True,False
2001.cancer.gov,cancer.gov,False,False,False,True,False
2001.nci.nih.gov,nih.gov,False,False,False,True,False
2001annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2002-2009-fpc.state.gov,state.gov,True,False,True,True,False
2002-2009-mepi.state.gov,state.gov,False,False,False,True,False
2002-2009-usawc.state.gov,state.gov,False,False,False,True,False
2002.blm.gov,blm.gov,False,False,False,True,False
2002.cancer.gov,cancer.gov,False,False,False,True,False
2002annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2003annualreport.nichd.nih.gov,nih.gov,False,False,False,True,False
2004-2009-sdp.state.gov,state.gov,False,False,False,True,False
