Domain,Base Domain,Participates in Analytics
gsa.gov,gsa.gov,True
gsaadvantage.gov,gsaadvantage.gov,True
gsaauctions.gov,gsaauctions.gov,True
gsaig.gov,gsaig.gov,False
gsatest1.gov,gsatest1.gov,False
gsatest2.gov,gsatest2.gov,False
gsatest3.gov,gsatest3.gov,False
gsatest4.gov,gsatest4.gov,False
gsatest5.gov,gsatest5.gov,False
gsatestnsn.gov,gsatestnsn.gov,False
gsaxcess.gov,gsaxcess.gov,True
guideline.gov,guideline.gov,True
guidelines.gov,guidelines.gov,True
gwa.gov,gwa.gov,False
hanford.gov,hanford.gov,False
harp.gov,harp.gov,True
hc.gov,hc.gov,False
hcqualitycommission.gov,hcqualitycommission.gov,False
health.gov,health.gov,True
healthcare.gov,healthcare.gov,False
healthdata.gov,healthdata.gov,False
healthfinder.gov,healthfinder.gov,True
healthindicators.gov,healthindicators.gov,False
healthit.gov,healthit.gov,True
healthreform.gov,healthreform.gov,False
healthypeople.gov,healthypeople.gov,True
hearttruth.gov,hearttruth.gov,False
helpwithmybank.gov,helpwithmybank.gov,True
helpwithmycheckingaccount.gov,helpwithmycheckingaccount.gov,True
helpwithmycreditcard.gov,helpwithmycreditcard.gov,True
helpwithmycreditcardbank.gov,helpwithmycreditcardbank.gov,True
helpwithmymortgage.gov,helpwithmymortgage.gov,True
helpwithmymortgagebank.gov,helpwithmymortgagebank.gov,True
heritageabroad.gov,heritageabroad.gov,False
hhs.gov,hhs.gov,True
hhsoig.gov,hhsoig.gov,True
hhsops.gov,hhsops.gov,False
highperformancebuildings.gov,highperformancebuildings.gov,False
hirevets.gov,hirevets.gov,True
hispanicheritagemonth.gov,hispanicheritagemonth.gov,False
history.gov,history.gov,False
hiv.gov,hiv.gov,True
homeenergyscore.gov,homeenergyscore.gov,False
homelandsecurity.gov,homelandsecurity.gov,False
homesales.gov,homesales.gov,False
house.gov,house.gov,False
housecalendar.gov,housecalendar.gov,False
housecommunications.gov,housecommunications.gov,False
housedemocrats.gov,housedemocrats.gov,False
housedems.gov,housedems.gov,False
houselive.gov,houselive.gov,False
housenewsletters.gov,housenewsletters.gov,False
howto.gov,howto.gov,False
hrsa.gov,hrsa.gov,True
hru.gov,hru.gov,True
hsr.gov,hsr.gov,False
hud.gov,hud.gov,True
hudoig.gov,hudoig.gov,True
huduser.gov,huduser.gov,False
humanities.gov,humanities.gov,False
hurricanes.gov,hurricanes.gov,False
hydrogen.gov,hydrogen.gov,True
iad.gov,iad.gov,True
iaf.gov,iaf.gov,False
iarpa-ideas.gov,iarpa-ideas.gov,False
iarpa.gov,iarpa.gov,False
iat.gov,iat.gov,False
iawg.gov,iawg.gov,True
ibb.gov,ibb.gov,False
ibwc.gov,ibwc.gov,True
ic.gov,ic.gov,False
ic3.gov,ic3.gov,True
icass.gov,icass.gov,True
icbemp.gov,icbemp.gov,False
ice.gov,ice.gov,True
ich.gov,ich.gov,False
icjointduty.gov,icjointduty.gov,False
idealab.gov,idealab.gov,False
identitysandbox.gov,identitysandbox.gov,False
identitytheft.gov,identitytheft.gov,True
idmanagement.gov,idmanagement.gov,True
idtheft.gov,idtheft.gov,False
iedison.gov,iedison.gov,False
ignet.gov,ignet.gov,False
ihs.gov,ihs.gov,True
imls.gov,imls.gov,True
